MouseID,FileName,NumCurves,NumPhase1Candidates,NumFinalExcluded,FinalExcludeRatio,AvgRMSE,AvgMaxAbsDiff,OriginalAmp4Hz,FilteredAmp4Hz,DeltaAmp4Hz
mdx5Cv_662,saw4Hzhigh_s1_c1_5cv662.csv,120,20,13,0.108333333333333,3.62956190471795e-06,6.91678327102804e-06,5.18979027777351e-06,5.91368853390607e-06,7.23898256132559e-07
mdx5Cv_662,saw4Hzhigh_s1_c2_5cv662.csv,120,18,9,0.075,3.52695700518201e-06,1.12735194054054e-05,6.62127579011059e-06,7.29530592077342e-06,6.74030130662834e-07
mdx5Cv_662,saw4Hzlow_s2_c1_5cv662.csv,120,9,4,0.0333333333333333,4.41740194634725e-07,1.32210772988505e-06,8.16878668148687e-06,8.14522176681669e-06,-2.35649146701704e-08
mdx5Cv_662,saw4Hzlow_s2_c2_5cv662.csv,120,9,4,0.0333333333333333,5.39320789106761e-07,1.5776805591954e-06,7.51864393766192e-06,7.75281159106675e-06,2.34167653404822e-07
mdx5Cv_663WT,saw4Hzhigh_s1_c2_5cv663WT.csv,120,6,4,0.0333333333333333,6.59847506890345e-07,1.76503672413793e-06,1.21634873513439e-05,1.20396569377342e-05,-1.23830413609609e-07
mdx5Cv_663WT,saw4Hzhigh_s2_c1_5cv663WT.csv,160,15,8,0.05,1.07723602900262e-06,3.54671197368421e-06,7.84018103868918e-06,8.53995830126201e-06,6.99777262572833e-07
mdx5Cv_663WT,saw4Hzlow_s1_c1_5cv663WT.csv,80,9,4,0.05,6.58597981244807e-07,2.4516625e-06,2.04975039117625e-05,1.99846893936231e-05,-5.12814518139474e-07
mdx5Cv_663WT,saw4Hzlow_s1_c2_5cv663WT.csv,80,6,4,0.05,1.45310401098623e-06,4.13003565789474e-06,1.4635029626768e-05,1.48521749232123e-05,2.17145296444272e-07
mdx5Cv_701,saw4Hzhigh_s1_c1_5cv701.csv,160,6,2,0.0125,6.37742166200579e-07,2.0655128085443e-06,8.24511776717351e-06,8.18010542414764e-06,-6.5012343025875e-08
mdx5Cv_701,saw4Hzhigh_s1_c2_5cv701.csv,160,10,3,0.01875,5.20930934262347e-07,1.22725875796178e-06,6.73750801818316e-06,6.51647621605055e-06,-2.21031802132613e-07
mdx5Cv_701,saw4Hzlow_s1_c1_5cv701.csv,40,1,1,0.025,1.46098329770958e-06,4.48030416025641e-06,4.23539788572166e-05,4.35425160899761e-05,1.18853723275952e-06
mdx5Cv_701,saw4Hzlow_s1_c2_5cv701.csv,40,3,0,0,0,0,3.70800918178833e-05,3.70800918178833e-05,0
mdx5Cv_702WT,saw4Hzhigh_s1_c1_5cv702WT.csv,200,21,10,0.05,1.6049740990473e-06,3.70333997368421e-06,1.12083864696532e-05,1.09531287751342e-05,-2.55257694518968e-07
mdx5Cv_702WT,saw4Hzhigh_s1_c2_5cv702WT.csv,200,27,14,0.07,1.74830990576295e-06,5.02032599827957e-06,1.40655445217394e-05,1.38213469338446e-05,-2.44197587894761e-07
mdx5Cv_702WT,saw4Hzlow_s1_c1_5cv702WT.csv,80,5,1,0.0125,1.18636614955623e-06,2.4014589556962e-06,2.7975132943419e-05,2.75207190338956e-05,-4.54413909523436e-07
mdx5Cv_702WT,saw4Hzlow_s1_c2_5cv702WT.csv,80,4,1,0.0125,8.75431382028963e-07,2.38474462025317e-06,2.27236679789128e-05,2.23925346545701e-05,-3.31133324342723e-07
mdx5Cv_710,saw4Hzhigh_s1_c1_5cv710.csv,120,11,0,0,0,0,1.30856384516404e-05,1.30856384516404e-05,0
mdx5Cv_710,saw4Hzhigh_s1_c2_5cv710.csv,120,7,0,0,0,0,7.35756660286897e-06,7.35756660286897e-06,0
mdx5Cv_710,saw4Hzlow_s1_c1_5cv710.csv,80,5,2,0.025,8.21653838668119e-07,2.04159118589743e-06,6.3965035856059e-05,6.39876203773244e-05,2.2584521265409e-08
mdx5Cv_710,saw4Hzlow_s1_c2_5cv710.csv,80,6,2,0.025,2.20605762716716e-06,4.51378269230769e-06,4.30254067042704e-05,4.58694306171778e-05,2.84402391290741e-06
